Description,Type,category1,category2
imported,prod_side,imported,imported
exported,cons_side,exported,exported
produced,prod_side,produced,produced
lost,cons_side,sub_lost_stored,sub_lost_stored
stored,cons_side,sub_lost_stored,sub_lost_stored
non_energy_ind,cons_side,sub_consumed,sub_consumed
transport,cons_side,sub_consumed,sub_consumed
household,cons_side,sub_consumed,sub_consumed
services,cons_side,sub_consumed,sub_consumed
agri,cons_side,sub_consumed,sub_consumed
cons_other,cons_side,sub_consumed,sub_consumed
geo,prod_side,sub_produced,renew
hydro,prod_side,sub_produced,renew
nuclear,prod_side,sub_produced,non_renew
solar,prod_side,sub_produced,renew
ocean,prod_side,sub_produced,renew
wind,prod_side,sub_produced,renew
chemical,prod_side,sub_produced,non_renew
combustion,prod_side,sub_produced,non_renew
prod_other,prod_side,sub_produced,non_renew
consumed,cons_side,consumed,consumed
electricity,electricity,electricity,electricity
prod_error,prod_side,prod_error,prod_error
cons_error,cons_side,cons_error,cons_error
lost_stored,cons_side,lost_stored,lost_stored
energy_ind,cons_side,sub_consumed,sub_consumed
tot_consumption,prod_side,prod_error,prod_error
tot_production,cons_side,cons_error,cons_error
