OrigCountryName,Country,CountryCode,SubContinent,SubContCode,Continent,ContCode,Develop
Afghanistan,Afghanistan,4,Southern Asia,34,Asia,142,Developing
Albania,Albania,8,Southern Europe,39,Europe,150,Developed
Algeria,Algeria,12,Northern Africa,15,Africa,2,Developing
American Samoa,American Samoa,16,Polynesia,61,Oceania,9,Developing
Andorra,Andorra,20,Southern Europe,39,Europe,150,Developed
Angola,Angola,24,Middle Africa,17,Africa,2,Developing
Anguilla,Anguilla,660,Caribbean,29,Americas,19,Developing
Antigua and Barbuda,Antigua and Barbuda,28,Caribbean,29,Americas,19,Developing
Argentina,Argentina,32,South America,5,Americas,19,Developing
Armenia,Armenia,51,Western Asia,145,Asia,142,Developing
Aruba,Aruba,533,Caribbean,29,Americas,19,Developing
Australia,Australia,36,Australia and New Zealand,53,Oceania,9,Developed
Austria,Austria,40,Western Europe,155,Europe,150,Developed
Azerbaijan,Azerbaijan,31,Western Asia,145,Asia,142,Developing
Bahamas,Bahamas,44,Caribbean,29,Americas,19,Developing
Bahrain,Bahrain,48,Western Asia,145,Asia,142,Developing
Bangladesh,Bangladesh,50,Southern Asia,34,Asia,142,Developing
Barbados,Barbados,52,Caribbean,29,Americas,19,Developing
Belarus,Belarus,112,Eastern Europe,151,Europe,150,Developed
Belgium,Belgium,56,Western Europe,155,Europe,150,Developed
Belize,Belize,84,Central America,13,Americas,19,Developing
Benin,Benin,204,Western Africa,11,Africa,2,Developing
Bermuda,Bermuda,60,Northern America,21,Americas,19,Developed
Bhutan,Bhutan,64,Southern Asia,34,Asia,142,Developing
Bolivia (Plur. State of),Bolivia,68,South America,5,Americas,19,Developing
Bosnia and Herzegovina,Bosnia and Herzegovina,70,Southern Europe,39,Europe,150,Developed
Botswana,Botswana,72,Southern Africa,18,Africa,2,Developing
Brazil,Brazil,76,South America,5,Americas,19,Developing
British Virgin Islands,British Virgin Islands,92,Caribbean,29,Americas,19,Developing
Brunei Darussalam,Brunei Darussalam,96,South-Eastern Asia,35,Asia,142,Developing
Bulgaria,Bulgaria,100,Eastern Europe,151,Europe,150,Developed
Burkina Faso,Burkina Faso,854,Western Africa,11,Africa,2,Developing
Burundi,Burundi,108,Eastern Africa,14,Africa,2,Developing
Cabo Verde,Cabo Verde,132,Western Africa,11,Africa,2,Developing
Cambodia,Cambodia,116,South-Eastern Asia,35,Asia,142,Developing
Cameroon,Cameroon,120,Middle Africa,17,Africa,2,Developing
Canada,Canada,124,Northern America,21,Americas,19,Developed
Cayman Islands,Cayman Islands,136,Caribbean,29,Americas,19,Developing
Central African Rep.,Central African Republic,140,Middle Africa,17,Africa,2,Developing
Chad,Chad,148,Middle Africa,17,Africa,2,Developing
Chile,Chile,152,South America,5,Americas,19,Developing
China,China,156,Eastern Asia,30,Asia,142,Developing
"China, Hong Kong SAR",China Hong Kong SAR,344,Eastern Asia,30,Asia,142,Developing
"China, Macao SAR",China Macao SAR,446,Eastern Asia,30,Asia,142,Developing
Colombia,Colombia,170,South America,5,Americas,19,Developing
Comoros,Comoros,174,Eastern Africa,14,Africa,2,Developing
Congo,Congo,178,Middle Africa,17,Africa,2,Developing
Cook Islands,Cook Islands,184,Polynesia,61,Oceania,9,Developing
Costa Rica,Costa Rica,188,Central America,13,Americas,19,Developing
Côte d'Ivoire,Cote dIvoire,384,Western Africa,11,Africa,2,Developing
Croatia,Croatia,191,Southern Europe,39,Europe,150,Developed
Cuba,Cuba,192,Caribbean,29,Americas,19,Developing
Cyprus,Cyprus,196,Western Asia,145,Asia,142,Developing
Czech Republic,Czech Republic,203,Eastern Europe,151,Europe,150,Developed
Dem. Rep. of the Congo,Congo,178,Middle Africa,17,Africa,2,Developing
Denmark,Denmark,208,Northern Europe,154,Europe,150,Developed
Djibouti,Djibouti,262,Eastern Africa,14,Africa,2,Developing
