Transaction,Year,Unit,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plur. State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Rep.,Chad,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Czechoslovakia(former),Dem. Rep. of the Congo,Dem. Yemen (former),Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,"Ethiopia,incl.Eritrea",Faeroe Islands,Falkland Is. (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,German D.R.(former),Germany,Germany(Fed.Rep.),Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran(Islamic Rep. of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem.Ppl's.Rep.","Korea, Republic of",Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia(Fed. States of),Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Other Asia,Pacific Islands (Trust Territory),Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,St. Helena and Depend.,St. Kitts-Nevis,St. Lucia,St. Pierre-Miquelon,St. Vincent-Grenadines,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,T.F.Yug.Rep. Macedonia,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,United States,United States Virgin Is.,Uruguay,USSR (former),Uzbekistan,Vanuatu,Venezuela(Bolivar. Rep.),Viet Nam,Wallis and Futuna Is.,Yemen,Yemen (former),"Yugoslavia, SFR",Zambia,Zimbabwe
Electricity - Gross production,2012,"Kilowatt-hours, million",1022,4288,57397,156.6,91.3,5613,89.5,327,135207,8036,914.5,248941,72616,22988,2037,24770,49039,1128.5,30799,83071,399,163,692,6826.7,7661,14082,250,552498,130,3930,47329,625.6,143.695,370.83,1434,6238,634449,607,177,205,69751,4987553,38752,489,60805,43,1342,32.9,10174.33611,7016,10557,18432,4717,87573,,7966,,30727,393,101.55,16893.25,22847,164628,5972,97,359,11967,6700,,291.556,17.65,837.184,70399,564275,853,765.632,2197,266.3,10137,,629812,,12204,176,60959,405,199.7,1805,1799,9412,68.1,877.5,34.25,942.4,1150,7593,34590,17549,1035264,197328,254253.06,61704,27592,295.9,63038,299277,4156.2,1034305,46.5,16596,91207,8290,24.1,19236,534618,62655,15168,3802.47,6168,14826,461,300,33980,85.9,5043,3814,1520.16,1666.01,134373,297.2,1718,2290,113.72,1780.487,824.3,2796.5,293862,67.28,4815.6,2844,23,26495.3,15166,10965,1538,23.6,3552,102505,1333,2264.341,44295,4031,421.485,28706,3,400,147845,25017,250336,,96126,95.5,8605.6,3525.4,60234.609,39909,72955.9,162139,46614,22305.6,34787,932,2811.7,59045,1070734,393,117.2,67,271680,2917,36799,,336.46,178.67,46915,28664,15729,83.3,333,257919,297559,11897.006,9.58,204,384.783,43.47,144,461.1,9436,1972.42,621.8,166562,69866,31188,6262,16998,166471,126,111,52.39,9132,18059.4,239496,17750,227,4.7,2639.7,198878,100927,363837,5795,4290547,872.2,10596,,52500,67.15,126516,118937,18.983,6579,,,11856,9088
Electricity - Gross production,2011,"Kilowatt-hours, million",1005,3947,51224,155,91.3,5651,95.2,325,129892,7433,930.5,252623,65811,20294,1766,23767,44163,1049,32192,90235,384.42,155,725.9,7067.5,7219,15280,437,531759,131,3725,50797,529.9,143.151,361.86,1053,6079,639347,626,174,218,65713,4713019,39026,837,59653,43,1293,33.6,9831.455556,6099,10831,17759,4929,87561,,7882,,35232,387,100.4,15894.49,20562,161162,5837,97,337,12893,6307,,273.843,17.6,835.037,73481,560343,836,761.213,2070,255.7,10747,,613068,,11366,171,59436,412.3,204,1767,1858,9181,84.6,877.5,33.17,910.4,943,7183,35983,17211,973006,182384,240030.05,54240,27472,498.6,59679,302584,4170.5,1051261,45.8,14647,86586,7849,24.1,19227,523286,57457,15158,3802.47,6095,16365,549,300,27614,72.3,4822,3718,1437.646,1978.61,124893,273.7,1702,2194,113.72,1764.403,744.2,2730.5,295837,65.91,4536.4,2656,23,24364.2,16830,10424,1607,23,3492,112968,1325,2256.253,44465,3824,295.245,27034,3,400,127632,21354,252016,,95090,95.5,7857.4,3525.4,57625,39223,69209.6,163548,52463,22257.4,30730,1016,2749.8,62217,1054765,345.5,114,60,250077,2560,38600,,323.84,175.64,45994,28656,16057,82.7,330,262538,293848,11599.706,9.59,196,385.208,45.23,142,569.3,8455,1950.9,654.44,150376,64626,42025,6759,16234,151595,140.1,128,53.16,8772,16496.5,229393,17220,214,4.65,2588,194947,99137,367455,5244,4349571,950.6,10342.3,,52400,67.69,122059,105219,19.752,6206,,,11482,9142
Electricity - Gross production,2010,"Kilowatt-hours, million",892,7728,45734,159.1,112.7,5449,98.6,326,125594.09,6491,940.2,252155,71128,18710,1823,23441,41813,1027.63,34895,95120,415.15,150,742.4,7328.5,6947,17124,532.1,515798,128,3792,46653,565.3,144.031,347.187,994,5899,602824,624,160,200,60434,4207160,38292,1077,60111,43,785,33.7,9583.319443,5965,14105,17387,5322,85910,,7888,,38862,379,99.1,15331.78,19551,150486,5985,100,311,12964,4980,,280.366,17.55,869,80668,569166,823,817.853,1979,245.2,9992,,632983,,10167,177,57392,401.1,208.7,1809,1882.4,8893,152.2,952.2,31.953,867.7,587,6777,37371,17059,954539,186593.52,232954.69,48909,28602,497.9,58591,302064,4216.7,1117123,56.4,14777,82646,6867,24.1,21665,499508,57029,12100,3755.063,6627,15712,567,250,32753,79,5749,4590,1359.803,2023.64,116807.6,255.8,1691,2115,113.72,1808.365,727.3,2689.5,271050,70.23,4313,4022,23,22852.5,16666,8625.11,1488,22.5,3208,118140,1323,2130.645,44876,3659,290.813,26121,3,400,123640,19819,246996,,94383,98.4,7418.9,3425.4,54065.52,35890,67776.8,157657,54090,23247,28144,1064,2699.5,60979,1038030,281.1,116.2,57.2,240067,2618,38103,,301.04,170.63,45366,27858,16433,87.4,327,259601,301527,10800.809,9.09,190,380.889,45.35,141.7,473.3,7499,1723.57,559.73,148563,67815,46413,7260,16436,159518,136.61,179,51.85,8485,16369.2,211208,16663,213.5,4.6,2456,188584,97728,381760,5187,4378422,957.538,10727.2,,51700,68.94,118370,94835,19.816,7755,,,11308,8636
Electricity - Gross production,2009,"Kilowatt-hours, million",889,5236,38501,178.3,81,4735,91.2,327.4,122348.08,5672,924.3,248753,69088,18868,1769,22555,37225,1068.38,30376,91225,256.58,128,746,6998.3,6121,15668,620.7,466158,125,3612,42964,699.8,123.147,295.93,1256,5783,612203,626,160,183,60722,3714650,38728,1466,57265,43,539,32.7,9311.238888,5871,12776,17727,5215,82250,,7835,,36383,349,92.8,14381.16,18588,142690,5793,100,295,8779,3992,,275.528,17.55,809,72062,535472,794,735.565,1865,242,8165,,595617,,8964,174,61365,406.4,203,1709,1867.9,9047,173.5,996.2,30.896,723.1,721,6625,35908,16834,899389,157516.05,221369.67,46065,28313,532.7,55008,292641,4207.7,1050326,63.9,14272,78710,6450,22,21129,454504,53216,11083,3874.3152,5569,13771,532,250,31045,71,15358,3879,1273.808,1944.14,107115.8,298.4,1575,2168,111.16,1732.266,657.6,2576.5,261045,70.49,4039,2760,23,20935,16963,6964.27,1742,21.2,3115,113502,1298,1939,43453,3453,253.883,19777,3,397,131773,17823,229694,,95358,100.8,6909,3340.7,54949.81,32929,61968.4,151720,50207,22949,24158,1033,2618.2,58014,991980,248.4,112.8,52,217082,2489,38322,,275.5,131.977,41800,26155,16401,83.7,327,249557,294620,9986.91,8.91,184,362.99,44.91,140,500.6,6491,1617.95,517.7,136729,68453,43308,6828,16166,148390,131.701,152,54.66,7843,15428,194812,15983,207.6,4.55,2185.55,173619,90573,376755,4736,4188214,920.773,8838,,49950,68.67,119580,83175,20.091,6746,,,10414,7291
Electricity - Gross production,2008,"Kilowatt-hours, million",788,3850,40236,188.4,78.7,4156,89.5,296,121927,6114,913.6,243220,66877,21643,1960,22819,34319,1053.68,35048,84930,217.995,229,727,6961.4,5817,14823,697,463120,121,3423,45037,619.4,113.789,286.8,1479,5681,635441,615,161,150,59704,3456738,37990,1211,56024,45,495,33.5,9473.811112,5800,12326,17681,5078,83518,,7529,,36616,339,87.5,14748.93,18826,134566,5968,100,287,10581,3777,,275.829,17.5,799,77435,573908,773,719.747,1844,242,8440,,640406,,8366,166,63749,387.9,188.8,1694,1878.2,8718,110.7,1000.39,29.819,709.2,486,6549,40025,16467,842531,149437,214530.18,36780,30239,503.2,57002,319130,4499.4,1082549,38.4,14160,80326,7055,22.5,23206,446428,51749,11789,4171.6647,5274,13356,517,250,30721,71.4,13913,3559,1274.3201,1797.14,106926.9,280,1481,2312,108.6,1682.066,658.9,2557.4,261918,65.95,4001,2828,23,20347,15127,6621.76,2097,19.4,2812,107645,1242,1875,43838,3361,225.503,21110,3,393.7,142134,15829,238313,,91616,109.2,6428,3131,55454.48,32430,60855.0032,155305,45969,23117,21616,1096,2546.1,64956,1040379,194.5,120.5,47.5,204200,2402,37376,,269.11,138.776,41717,28962,16399,86.3,324,258291,313758,10003.306,8.6,178,352.3,44.45,139.2,426.6,5506,1617.95,431.8,150036,68932,41023,6311,16205,147427.2,110.514,123,53,7683,15073,198418,15043,196.8,4.4,2088,192586,86260,388874,4386,4368260,971.741,8769,,49400,68.67,119297,73396,20.321,6546,,,9701,7625
Electricity - Gross production,2007,"Kilowatt-hours, million",950,2946,37196,185.2,76,3217,89,285.4,107711,5898,936,243156,64757,21847,2246,21722,31011,973.17,31829,88820,217.777,220,734.9,6562,5734,11784,821.5,445094,110,3395,43297,612,119.459,269.53,1489,5243,631616,604,161,129,58509,3281552.97,38948,1520,55314,47,416,33.7,9049.583333,5631,12245,17622,4871,88198,,7860,,39316,323,86.4,14348.63,16361,128129,5812,100,288,12190,3547,,269.417,17.3,835.998,81247,569784,744,687,1745,229,8570,,640578,,6984,155,63496,388.9,175.6,1691,1879.4,8756,158.2,973,29.672,698.8,468,6335,39960,11977,813102,142236,203985.57,32104,28198,462.1,53792,313888,5996,1135718,86.6,12838,76621,6772.6,23.6,21523,427316,48753,14830,3862.9569,4771,12072,513,250,26234,72.3,14007,4003,1221.8944,1616.8,104950,245,1409,2296,106.03,1631.866,586.8,2465.4,257293,69.84,3702,2144,22.6,19670,16076,6398.02,1694,20,2792,105162,1256,1926,43749,3208,222.062,22978,3,383.8,137192,14167,243121,,95661,117.6,6457,3112,53714.88,29931,59645.788,159348,47253,24636,19462,1100,2462.8,61673,1015333,165.42,131,45,190535,2124,36550,,270.58,60,41134,28056,15043,85.1,311,263479,305052,9900.616,8.53,168,345.7,45.1,141.1,417.1,5021,1617.95,454.08,148926,67924,38642,6498,17494,143378.2,91.789,196,51,7683,14521,191558,14883,182,4.3,1953,196251,76106,396830,4182,4349840,980.166,9424,,48950,51.96,114563,67008,20.261,6027,,,9832,7609
Electricity - Gross production,2006,"Kilowatt-hours, million",913,5524,35226,188.7,74,3306,79.5,258,115197,5941,909.5,232829,64499,24543,2121,9745,29879,948.35,31811,85617,211.745,154,631,4520.8,5300,13309,977.1,419336,105,3298,45843,547.8,95.3,251.94,1176,5106,610743,555,167,130,55320,2865726,38613,1669,53852,51,453,32.2,8697.052777,5644,12430,16469,4652,84361,,7544,,45611,306,85.4,13780,14148,118407,5657,95,269,9732,3269,,260,17.1,839.996,82301,574581,716,657,1662,216,7599,,639492,,8435,151,60789,383.1,167.16,1605,1891.2,8163,79.5,873,27.946,664.34,570,5990,35859,9930,752454,133108,192681.78,30703,27480,395.5,50558,314121,7473,1104589,36.9,11120,71653,7322.5,23.6,22436,404021,47607,17082,4134.1843,4891,11610,502,200,24754,,12482,4334,1173.6578,1582.1,106701.5,212,1333,2261,100,1553,569.3,2350.4,249504,71.4,3545,2952,21.9,19862,14737,6164.15,1491,16.3,2748,98393,1218,1872,43602,3134,218.734,23110,3,387,121582,13287,235464,,98213,151,5989,3012,53774.44,27358,56819,161742,49041,24947,17080,1192,2365.1,62697,995794,170.7,116,43,181434,1962,36481,,252.52,41.2,39442,31418,15115,75,300,253798,299454,9499.816,8.2,160,330.8,41.6,134.3,345.3,4521,1617.64,437.28,143419,64059,37453,7006,16935,138741.6,71.958,221,49,6901,14122,176299,13653,158,4.2,1616,193381,66768,397282,3447,4300831,974.117,5618,,50920,50.94,112381,60493,19.687,5387,,,9901,7974
Electricity - Gross production,2005,"Kilowatt-hours, million",906,5443,32875,189,85,2632,72,243,107053,6317,910.5,228650,66409,22872,2085,8867,26506,930.21,30961,87025,156.217,107,617,2647.5,4896,12602,941.7,402938,98,3264,44365,516.3,102.3,237.06,964,4004,625036,482,160,129,52484,2500260.05,38448,2027,50411.59,48,433,29.9,8259.499999,5565.8,12459,15341,4377,82578,,7397,,36246,298,83.6,12623,12717,111690,4830,90,288,10205,2845,,245,16.85,823.038,70572,576210,691,631,1567,203,7267,,622579,,6793,145,60020,355.1,147.31,1573,1897.2,7822,53.1,911,26.244,643.86,556,5579,35756,8686,697470,127369,178088.35,29297,25970,434.6,48602,303699,7422,1099790,29.2,9651,67916,6736.5,21.9,22913,389390,43734,16415,4017.9199,4905,12433,451,200,22317,,14784,4131,1148.6963,1543.9,100897.66,185,1271,2240,100.5,1510,478.9,2271.4,243823,75.5,3419,2864,21.7,19243,13285,6064.16,1585,28.3,2533,100219,1248,1883,42968,2866,233.087,23539,3,390,138009,12648,227362,,93629,134,5827,3002,51156.35,25660,56604,156936,46575,24962,14396,1229,2271,59413,953086,117.8,110.5,41.4,176124,1908,36474,,230.43,83.6,38213,31455,15117,74.1,290,244922,294077,8850.716,8.08,145,323.6,42.4,131.7,500.5,3826,1571,408,158436,59647,36048,6945,17090,132197.3,112,189,48,7058,13007,161956,12823,132,4.2,1881,186055,60698,398355,3613,4294368,968.429,7683,,49200,49.94,105990,53656,20.334,4768,,,8936,9374
Electricity - Gross production,2004,"Kilowatt-hours, million",780,5559,31250,188.1,94,2240,62.1,221,100260,6030,865.8,229784,64151,21743,1979.7,8448,24684,895.29,31210,85643,148.219,81,667,2354.8,4541.88,12728,823.1,387451,97,3236,41621,473.3,93.6,219.81,765,4110,599976,451,150,122,51208,2203309.99,37129,1973,50228,44,397,29.8,8209,5403,13272,15633,4201,84333,,7086,,40436,215,79,11795,12873,104249,4505,85,283,10304,2539,,249,16.35,815.994,85831,574275,665,643,1539,185,6924,,617469,,6044,136,59346,336.9,135.92,1473,1877.8,7456,63.3,973,28.285,853.66,547,4877,33708,8623,665986,120160,166023,32295,25569,189.3,47279,303347,7249,1077431,46.4,8970,66942,6441.6,20.5,21974,368162,41256,16312,3858.7588,4689,12478,300,200,20202,,19274,4132,1134.753,1474.5,94835.77,165,1243,2216,101.3,1442,504.5,2165.4,232644,96.9,3303,,21,17496,11714,5608,1588,31.9,2418,102440,1210,1678,42505,2822,200.602,20224,3,400,110617,11499,218397,,85628,128,5761,3468,51921.21,24415,55957,154159,45105,24135,13233,1022,2191.08,56499,931865,143.7,105.6,37.3,159875,2061,,37686,225.98,119.8,36810,30567,15271,63,280,244607,280007,8742.826,8,130,308.54,42.6,120.7,395.5,3467,1509,354.5,151728,65583,32137,6667,16491,125726.9,97,186,47.3,6430,12455,150698,11923,116,4.1,1942.2,182165,52417,393936,2894,4174856,1050,5899,,50000,48.96,98552,46209,19.407,4365,,,8507,9719
Electricity - Gross production,2003,"Kilowatt-hours, million",976,5230,29571,188.3,80,1995,58.4,211,92609,5501,841.8,222121,60174,21286,1995.1,7768,19712,870.9,26627,84630,166,80,664,2529.1,4340,11266,935.6,364339,93,3169,42600,444.6,103.5,199.65,635,3684,589653,506,110,115,46829,1910574.98,35506,1796,47682,35,399,29.1,7566,5092.8,12620,15811,4052,83227,,6167,,46186,200,79,13265,11546,98133,4370,80,277,10159,2296,,249,16.25,811.991,84312,566924,641,602,1520,168,7160,,608779,,5905,134,58471,279.7,159.24,1420,1777.4,6561,54.1,899,21.682,820.47,535,4530,34145,8500,633372,112944,153879,28340,25219,143.9,47041,293885,7146,1047942,30.3,8044,63866,5506,17.8,20999,345192,39802,15576,3689.3044,3975,12673,330,200,18943,,19488,3621,1023.504,1335.1,78427,141,1223,2236,96.4,1397,461.216,2082,213728,101.9,3138,,21,16358,10907,5426,1567,31,2267,96829,1181,1758,40777,2708,191.5,20183,3,410,107273,10714,209072,,80826,128,5582,3178,51762.11,23128,52897,151631,46852,23937,12012,1046,2079,55140,916286,119.6,115,34.5,153000,1820,,35366,223.8,143.6,35331,31178,13820,63,280,234229,260727,8124.426,7.7,127,298.98,42.8,108.2,342.4,3354,1496,394.4,135437,67444,30366,6738,16509,116982.9,83,176,44.8,6437,11829,140581,10803,110,3.8,1802.2,180360,49450,398207,2658,4081764,1040,8578,,49400,48,90235.04,40925,18.587,4096,,,8308,8799
